SchoolId,LSCMemberType,MemberName,MemberVotes,Short_Name,Long_Name,Primary_Category,Network
609772,COMMUNITY,Raul  Rodriguez,9,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,COMMUNITY,Lilia  Rodriguez,8,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,NONTCHSTAFF,Maria A Marquez,9,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,PARENT,Teofilo  Carvajal,11,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,PARENT,Sanjuana E Valdivia,10,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,PARENT,Leticia  Gomez,9,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,PARENT,Anna V Ruezga,4,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,TEACHER,Kesha L Temple,26,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,TEACHER,Natalie A Gaza,25,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,TEACHER,Alice  Szczur,2,ADDAMS,Jane Addams Elementary School,ES,ISP
609773,COMMUNITY,Mac  LeBuhn,83,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,COMMUNITY,Sandra G Richman,20,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,COMMUNITY,Carolyn M Marsalek,10,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,COMMUNITY,Michael T Sheehan,6,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,NONTCHSTAFF,Marilyn  Rosario-Caro,9,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,PARENT,Tina M Holder King,120,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,PARENT,Sarah J Ogeto,89,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,PARENT,Kirsten E Clay,80,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,PARENT,Laurie J Viets,69,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,PARENT,Kathleen M Laslo,68,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,PARENT,Cindy R Wahtola,51,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,PARENT,Adam D Collins,26,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,PARENT,Tarek  El-Mofty,25,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,PARENT,Oliver J Williams,23,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,PARENT,Ramon O Flores,21,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,TEACHER,Nicholas J Hall,7,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
609773,TEACHER,Emily R Hulbert,4,AGASSIZ,Louis A Agassiz Elementary School,ES,ISP
610513,ADVOCATE,Renita  Alexander,1,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610513,ADVOCATE,Tammera  Holmes,1,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610513,COMMUNITY,Darryl  Hobson,1,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610513,COMMUNITY,Kelly  Pleasance,1,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610513,JROTC INSTR,Daniel  Castaneda,1,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610513,PARENT,Shamika  Mc Coy,4,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610513,PARENT,Dihanna T Washington,3,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610513,PARENT,Raven  Taylor,3,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610513,PARENT,Brandon  Acker,2,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610513,PARENT,Tamara  Helse,2,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610513,TEACHER,Andrew O Jones,2,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610513,TEACHER,Kerry L Maxwell,1,AIR FORCE HS,Air Force Academy High School,HS,Network 16
610212,COMMUNITY,Luis  Correa,9,ALBANY PARK,Albany Park Multicultural Academy,MS,Network 1
610212,COMMUNITY,Lauren  Sivak,5,ALBANY PARK,Albany Park Multicultural Academy,MS,Network 1
610212,NONTCHSTAFF,James F Lane,3,ALBANY PARK,Albany Park Multicultural Academy,MS,Network 1
610212,PARENT,Maria  Benitez,10,ALBANY PARK,Albany Park Multicultural Academy,MS,Network 1
610212,PARENT,Summer D Walker George,8,ALBANY PARK,Albany Park Multicultural Academy,MS,Network 1
610212,PARENT,Maria  Paredes,4,ALBANY PARK,Albany Park Multicultural Academy,MS,Network 1
610212,PARENT,Roger L George,4,ALBANY PARK,Albany Park Multicultural Academy,MS,Network 1
610212,PARENT,Milady A Valentin,2,ALBANY PARK,Albany Park Multicultural Academy,MS,Network 1
610212,PARENT,Samira  Nafii,2,ALBANY PARK,Albany Park Multicultural Academy,MS,Network 1
610212,TEACHER,Yara M Santillan,4,ALBANY PARK,Albany Park Multicultural Academy,MS,Network 1
610212,TEACHER,Anna M Whittles,3,ALBANY PARK,Albany Park Multicultural Academy,MS,Network 1
609774,COMMUNITY,Cody J Puckett,24,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,COMMUNITY,Noah G Graboys,18,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,NONTCHSTAFF,Tyler  Ross,7,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,PARENT,Nathan B Galer,56,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,PARENT,Jennifer J Kelly,49,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,PARENT,Tim A Hudson,48,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,PARENT,Celeste A O'Connor,46,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,PARENT,Suzanne L Kravitz,46,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,PARENT,Rheaana T Guess,36,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,TEACHER,Erin E Grohman,9,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,TEACHER,Celia M Arizmendi,7,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,TEACHER,Nikola  Lukic,2,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
610524,COMMUNITY,Marco  DeLaRosa,5,ALCOTT HS,Louisa May Alcott College Preparatory HS,HS,Network 15
610524,COMMUNITY,Elizabeth  Thompson,3,ALCOTT HS,Louisa May Alcott College Preparatory HS,HS,Network 15
610524,NONTCHSTAFF,Citlali  Soto,6,ALCOTT HS,Louisa May Alcott College Preparatory HS,HS,Network 15
610524,PARENT,Garvey  Madden,5,ALCOTT HS,Louisa May Alcott College Preparatory HS,HS,Network 15
610524,PARENT,Charia  Johnson,3,ALCOTT HS,Louisa May Alcott College Preparatory HS,HS,Network 15
609848,COMMUNITY,Barbara  Butler,2,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609848,NONTCHSTAFF,Angela S Magee,2,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609848,PARENT,Carla  Gross,1,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609848,PARENT,Loretta  Guise,1,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609848,PARENT,Shirley  Pryor,0,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609848,TEACHER,LaRita R Varnado-Harris,2,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609848,TEACHER,Olivia  Taylor,0,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609695,COMMUNITY,Kathryn G Bushnell,105,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,COMMUNITY,Robert F Farster,98,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,COMMUNITY,Caitlin A Botsios,61,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,NONTCHSTAFF,David A Chinchilla,12,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Stephen E Reynolds,101,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Sarah S Makela,93,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Craig P Amick,80,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Roberta S Salas,76,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Alexandra D Davila,71,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Suzette L Gorski,65,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Carol  Skilken,48,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Melva  Vega,48,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Steven R Yee,48,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Phil  English,22,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
