SchoolId,LSCMemberType,MemberName,MemberVotes,Short_Name,Long_Name,Primary_Category,Network
609772,COMMUNITY,Raul  Rodriguez,0,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,NONTCHSTAFF,Lorena  Vitela,0,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,PARENT,Leticia  Castellanos,0,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,PARENT,Maria E Rodriguez,0,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,TEACHER,America O Landeros,0,ADDAMS,Jane Addams Elementary School,ES,ISP
609772,TEACHER,Tiffany M Procissi,0,ADDAMS,Jane Addams Elementary School,ES,ISP
610513,PARENT,Maria C Urbina,0,AIR FORCE HS,Air Force Academy High School,HS,Network 16
609774,PARENT,MICHELLE L CANCILLA,0,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,PARENT,Nathan  Galer,0,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,PARENT,Thomas G Kotarac,0,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,PARENT,Tim A Hudson,0,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609774,TEACHER,Erin E Grohman,0,ALCOTT ES,Louisa May Alcott College Preparatory ES,ES,Network 4
609848,NONTCHSTAFF,Angela S Magee,0,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609848,PARENT,Carla  Gross,0,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609848,PARENT,Eddie C Bronson,0,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609848,PARENT,Falicia  Vaughn,0,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609848,PARENT,Pamela P Hardy,0,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609848,TEACHER,Olivia  Taylor,0,ALDRIDGE,Ira F Aldridge Elementary School,ES,Network 13
609695,COMMUNITY,Anna  Rubin,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,COMMUNITY,Kathryn G Bushnell,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,NONTCHSTAFF,David A Chinchilla,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Beneen I Prendiville,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Craig P Amick,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Elizabeth K Burgess,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Elizabeth R Recinto,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Sarah S Makela,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Sharon M Gaietto,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,PARENT,Stephen E Reynolds,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,TEACHER,Christian E Pedersen,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609695,TEACHER,Nicole A Cordero,0,AMUNDSEN HS,Roald Amundsen High School,HS,ISP
609951,ADVOCATE,Auyana S Orr,0,ARIEL,Ariel Elementary Community Academy,ES,Network 9
609777,COMMUNITY,Judy  Chung,0,ARMOUR,Phillip D Armour Elementary School,ES,ISP
609777,COMMUNITY,Mason  Blenkhorn,0,ARMOUR,Phillip D Armour Elementary School,ES,ISP
609777,NONTCHSTAFF,Margaret M Fiedler,0,ARMOUR,Phillip D Armour Elementary School,ES,ISP
609777,PARENT,Elizabeth  Hinckley,0,ARMOUR,Phillip D Armour Elementary School,ES,ISP
609777,PARENT,Graciela  Arias,0,ARMOUR,Phillip D Armour Elementary School,ES,ISP
609777,PARENT,Raina  Hanson,0,ARMOUR,Phillip D Armour Elementary School,ES,ISP
609777,PARENT,Regina  Bailey,0,ARMOUR,Phillip D Armour Elementary School,ES,ISP
609777,PARENT,Winne  Vasquez,0,ARMOUR,Phillip D Armour Elementary School,ES,ISP
609777,TEACHER,Arielle  Shanker,0,ARMOUR,Phillip D Armour Elementary School,ES,ISP
609777,TEACHER,Cathleen A Meza,0,ARMOUR,Phillip D Armour Elementary School,ES,ISP
609779,COMMUNITY,Ranj  Mohip,0,ARMSTRONG G,George Armstrong International Studies ES,ES,ISP
609779,COMMUNITY,Stuart  Alpern,0,ARMSTRONG G,George Armstrong International Studies ES,ES,ISP
609779,NONTCHSTAFF,Tamika A Ford,0,ARMSTRONG G,George Armstrong International Studies ES,ES,ISP
609779,PARENT,Peter  Haley Toepfer,0,ARMSTRONG G,George Armstrong International Studies ES,ES,ISP
609779,TEACHER,Gary L Weaver,0,ARMSTRONG G,George Armstrong International Studies ES,ES,ISP
609779,TEACHER,Xavier F Martinez,0,ARMSTRONG G,George Armstrong International Studies ES,ES,ISP
610287,NONTCHSTAFF,Doris J Tutein,0,ASHBURN,Ashburn Community Elementary School,ES,Network 10
610287,PARENT,Carmen M Holiday,0,ASHBURN,Ashburn Community Elementary School,ES,Network 10
610287,TEACHER,Lisa  Hackett,0,ASHBURN,Ashburn Community Elementary School,ES,Network 10
610287,TEACHER,Martin R Kelly,0,ASHBURN,Ashburn Community Elementary School,ES,Network 10
